Cumulative  Test positive,Cumulative  tests performed,Date,Discharged,Expired,admitted,Region
2,80,11/03/2020,0,0,2,ICT
0,95,11/03/2020,0,0,0,Pun
14,171,11/03/2020,1,0,13,Sind
0,28,11/03/2020,0,0,0,KP
0,0,11/03/2020,0,0,0,K
1,18,11/03/2020,0,0,1,Balochistan
0,4,11/03/2020,0,0,0,AJK
2,26,11/03/2020,0,0,2,GB
2,85,12/03/2020,0,0,2,ICT
0,105,12/03/2020,0,0,0,P
14,198,12/03/2020,2,0,12,Sindh
0,29,12/03/2020,0,0,0,KP
0,0,12/03/2020,0,0,0,KPTD
1,18,12/03/2020,0,0,1,Balochistan
0,8,12/03/2020,0,0,0,AJK
3,28,12/03/2020,0,0,3,GB
2,92,13/03/2020,0,0,2,ICT
0,110,13/03/2020,0,0,0,P
15,240,13/03/2020,2,0,13,Sindh
0,30,13/03/2020,0,0,0,KP
0,0,13/03/2020,0,0,0,KPTD
1,18,13/03/2020,0,0,1,Balochistan
0,9,13/03/2020,0,0,0,AJK
3,32,13/03/2020,0,0,3,GB
3,99,14/03/2020,0,0,3,ICT
0,116,14/03/2020,0,0,0,Punjab
16,282,14/03/2020,3,0,13,Sindh
0,31,14/03/2020,0,0,0,KP
0,0,14/03/2020,0,0,0,KPTD
6,35,14/03/2020,0,0,6,Balochistan
0,10,14/03/2020,0,0,0,AJK
3,36,14/03/2020,0,0,3,GB
4,115,15/03/2020,0,0,4,ICT
0,126,15/03/2020,0,0,0,Punjab
18,315,15/03/2020,3,0,15,Sindh
0,32,15/03/2020,0,0,0,KP
0,0,15/03/2020,0,0,0,KPTD
6,42,15/03/2020,0,0,6,Balochistan
0,11,15/03/2020,0,0,0,AJK
3,45,15/03/2020,0,0,3,GB
4,147,16/03/2020,0,0,4,ICT
1,166,16/03/2020,0,0,1,Punjab
34,364,16/03/2020,3,0,32,Sindh
0,32,16/03/2020,0,0,0,KP
0,0,16/03/2020,0,0,0,KPTD
5,40,16/03/2020,0,0,10,Balochistan
0,11,16/03/2020,0,0,0,AJK
3,45,16/03/2020,0,0,3,GB
6,28,16/03/2020,0,0,0,Mobile Lab
4,581,17-Mar-20,1,0,3,ICT
1,166,17/03/2020,0,0,1,Punjab
150,554,17/03/2020,3,0,147,Sindh
15,51,17/03/2020,0,0,15,KP
0,0,17/03/2020,0,0,0,KPTD
14,163,17/03/2020,0,0,14,Balochistan
0,11,17/03/2020,0,0,0,AJK
3,45,17/03/2020,0,0,3,GB
8,627,18/03/2020,1,0,3,ICT
26,133,18/03/2020,0,0,26,Punjab
172,606,18/03/2020,3,0,169,Sindh
17,42,18/03/2020,0,0,17,KP
0,0,18/03/2020,0,0,0,KPTD
15,151,18/03/2020,0,0,15,Balochistan
0,11,18/03/2020,0,0,0,AJK
3,51,18/03/2020,0,0,5,GB
5,184,19-Mar-20,2,0,3,ICT
33,254,19/03/2020,0,0,33,Punjab
208,908,19/03/2020,3,0,205,Sindh
19,67,19/03/2020,0,2,17,KP
0,0,19/03/2020,0,0,0,KPTD
23,637,19/03/2020,0,0,23,Balochistan
1,23,19/03/2020,0,0,1,AJK
13,90,19/03/2020,0,0,11,GB
10,277,20/03/2020,2,0,8,ICT
80,872,20-Mar-20,0,0,80,Punjab
245,1210,20/03/2020,3,0,242,Sindh
23,67,20/03/2020,0,2,21,KP
0,0,20/03/2020,0,0,0,KPTD
81,805,20/03/2020,0,0,81,Balochistan
1,36,20/03/2020,0,0,1,AJK
21,143,20/03/2020,0,0,21,GB
11,325,21-Mar-20,2,0,9,ICT
96,894,21-Mar-20,0,0,96,Punjab
253,1497,21/03/2020,3,1,249,Sindh
23,130,21/03/2020,0,2,21,KP
0,0,21/03/2020,0,0,0,KPTD
81,805,21/03/2020,0,0,81,Balochistan
1,40,21-Mar-20,0,0,1,AJK
30,310,21/03/2020,0,0,30,GB
11,366,22/03/2020,2,0,9,ICT
152,1361,22/03/2020,0,0,152,Punjab
396,1497,22/03/2020,3,1,392,Sindh
31,264,22/03/2020,0,2,29,KP
0,0,22/03/2020,0,0,0,KPTD
104,1380,22/03/2020,0,0,104,Balochistan
1,42,22/03/2020,0,0,1,AJK
55,315,22/03/2020,0,0,55,GB
15,404,23-Mar-20,2,0,13,ICT
225,1436,23/03/2020,0,0,225,Punjab
333,1512,23/03/2020,4,1,328,Sindh
31,305,23/03/2020,0,3,28,KP
108,1405,23/03/2020,0,1,107,Balochistan
1,44,23/03/2020,0,0,1,AJK
71,338,23/03/2020,0,0,71,GB
15,427,24/03/2020,2,0,13,ICT
249,1436,24/03/2020,0,0,249,Punjab
394,1579,24-Mar-20,4,1,389,Sindh
38,448,24/03/2020,0,3,35,KP
110,1407,24/03/2020,0,1,109,Balochistan
1,60,24/03/2020,0,0,1,AJK
80,500,24/03/2020,0,1,79,GB
18,459,25/03/2020,2,0,16,ICT
296,1436,25/03/2020,2,1,293,Punjab
407,1579,25/03/2020,14,1,392,Sindh
78,566,25/03/2020,0,3,75,KP
110,1437,25/03/2020,0,1,109,Balochistan
1,66,25/03/2020,0,0,1,AJK
81,580,25/03/2020,0,1,80,GB
25,561,26/03/2020,2,0,8,ICT
323,1436,26-Mar-20,3,2,318,Punjab
413,1592,26-Mar-20,14,1,398,Sindh
80,704,26-Mar-20,2,3,75,KP
131,1455,26-Mar-20,0,1,130,Balochistan
1,77,26-Mar-20,0,0,1,AJK
84,624,26-Mar-20,0,1,83,GB
25,712,27-Mar-20,2,0,12,ICT
408,2257,27-Mar-20,3,3,402,Punjab
417,1592,27-Mar-20,14,1,402,Sindh
123,917,27-Mar-20,2,3,118,KP
131,1512,27-Mar-20,0,1,130,Balochistan
2,83,27-Mar-20,0,0,2,AJK
91,762,27-Mar-20,2,1,88,GB
39,1056,28-Mar-20,2,0,8,ICT
490,3310,28-Mar-20,4,5,237,Punjab
457,5158,28-Mar-20,14,1,294,Sindh
180,1121,28-Mar-20,2,3,50,KP
133,1657,28-Mar-20,2,1,122,Balochistan
2,97,28-Mar-20,0,0,2,AJK
107,832,28-Mar-20,3,1,12,GB
43,1213,29-Mar-20,2,0,11,ICT
558,3492,29-Mar-20,4,5,247,Punjab
481,5673,29-Mar-20,14,2,294,Sindh
188,1229,29-Mar-20,2,4,60,KP
138,1737,29-Mar-20,2,1,130,Balochistan
2,97,29-Mar-20,0,0,2,AJK
116,895,29-Mar-20,4,1,12,GB
51,1310,30/03/2020,3,0,13,ICT
593,3492,30/03/2020,5,6,253,Punjab
508,5945,30/03/2020,16,5,306,Sindh
195,1324,30/03/2020,2,5,60,KP
144,1710,30/03/2020,2,1,133,Balochistan
6,105,30/03/2020,0,0,6,AJK
128,862,30/03/2020,4,1,12,GB
58,1469,31/03/2020,3,0,16,ICT
652,2500,31/03/2020,5,9,303,Punjab
627,6328,31/03/2020,42,7,315,Sindh
221,1512,31/03/2020,2,6,70,KP
153,1792,31/03/2020,2,1,139,Balochistan
6,177,31/03/2020,0,0,6,AJK
148,880,31/03/2020,4,2,12,GB
54,1703,01/04/2020,3,0,16,ICT
708,2720,01/04/2020,5,9,357,Punjab
676,6578,01/04/2020,51,8,385,Sindh
253,1271,01/04/2020,2,6,74,KP
158,1934,01/04/2020,17,1,124,Balochistan
6,239,01/04/2020,0,0,6,AJK
184,750,01/04/2020,4,2,12,GB
62,1997,02/04/2020,3,0,15,ICT
845,2945,02/04/2020,6,11,384,Punjab
743,6926,02/04/2020,58,9,387,Sindh
276,1814,02/04/2020,19,8,84,KP
169,2049,02/04/2020,17,1,125,Balochistan
9,249,02/04/2020,0,0,9,AJK
187,797,02/04/2020,4,2,12,GB
68,2395,03/04/2020,3,0,18,ICT
920,15134,03/04/2020,6,11,456,Punjab
783,7504,03/04/2020,65,11,410,Sindh
311,1938,03/04/2020,30,9,92,KP
169,2171,03/04/2020,17,1,125,Balochistan
9,322,03/04/2020,0,0,9,AJK
190,844,03/04/2020,5,3,12,GB
11,343,04/04/2020,0,0,11,AJK
175,2401,04/04/2020,17,1,132,Balochistan
193,860,04/04/2020,9,3,12,GB
75,2569,04/04/2020,3,0,14,ICT
343,1624,04/04/2020,30,11,92,KP
1072,16508,04/04/2020,6,11,506,Punjab
839,8625,04/04/2020,65,14,391,Sindh
12,385,05/04/2020,1,0,11,AJK
185,2513,05/04/2020,17,1,133,Balochistan
206,975,05/04/2020,9,3,12,GB
78,2744,05/04/2020,3,0,10,ICT
372,1769,05/04/2020,30,14,95,KP
1163,17653,05/04/2020,25,12,526,Punjab
864,8846,05/04/2020,85,15,390,Sindh
15,400,06/04/2020,1,0,14,AJK
191,2777,06/04/2020,30,1,112,Balochistan
210,998,06/04/2020,13,3,12,GB
82,2871,06/04/2020,3,0,11,ICT
405,1974,06/04/2020,62,16,120,KP
1493,17724,06/04/2020,25,15,653,Punjab
881,9131,06/04/2020,123,15,363,Sindh
18,484,07/04/2020,1,0,17,AJK
202,2998,07/04/2020,63,1,87,Balochistan
211,1015,07/04/2020,15,3,14,GB
83,2921,07/04/2020,3,1,17,ICT
500,2103,07/04/2020,69,17,138,KP
1918,20073,07/04/2020,25,15,751,Punjab
932,9589,07/04/2020,253,17,287,Sindh
19,534,08/04/2020,1,0,18,AJK
206,3091,08/04/2020,75,2,77,Balochistan
212,1127,08/04/2020,15,3,14,GB
92,3096,08/04/2020,3,1,17,ICT
527,2262,08/04/2020,70,18,197,KP
2030,21826,08/04/2020,34,16,713,Punjab
986,10223,08/04/2020,269,18,303,Sindh
28,581,09/04/2020,1,0,27,AJK
212,3216,09/04/2020,76,2,77,Balochistan
213,1143,09/04/2020,96,3,14,GB
102,3233,09/04/2020,10,1,11,ICT
560,2662,09/04/2020,74,20,168,KP
2171,23080,09/04/2020,35,17,752,Punjab
1036,10981,09/04/2020,280,20,354,Sindh
33,631,10/04/2020,1,0,32,AJK
219,3405,10/04/2020,89,1,70,Balochistan
215,1266,10/04/2020,111,3,14,GB
107,3375,10/04/2020,10,1,18,ICT
620,2871,10/04/2020,128,22,201,KP
2279,31535,10/04/2020,39,18,745,Punjab
1128,11623,10/04/2020,349,21,322,Sindh
34,745,11/04/2020,1,0,33,AJK
220,3694,11/04/2020,95,1,68,Balochistan
215,1334,11/04/2020,125,3,17,GB
113,3480,11/04/2020,13,1,15,ICT
656,3046,11/04/2020,131,25,201,KP
2336,33328,11/04/2020,39,19,764,Punjab
1214,12209,11/04/2020,358,22,313,Sindh
35,813,12/04/2020,1,0,34,AJK
228,3812,12/04/2020,95,2,62,Balochistan
216,1408,12/04/2020,146,3,9,GB
119,3570,12/04/2020,13,1,17,ICT
697,3259,12/04/2020,142,31,210,KP
2425,36199,12/04/2020,258,21,765,Punjab
1318,12740,12/04/2020,371,28,343,Sindh
40,910,13/04/2020,2,0,38,AJK
230,3906,13/04/2020,123,2,40,Balochistan
224,1476,13/04/2020,149,3,9,GB
131,3836,13/04/2020,15,1,24,ICT
744,3478,13/04/2020,145,34,211,KP
2594,38199,13/04/2020,272,23,832,Punjab
1411,13309,13/04/2020,389,30,347,Sindh
43,992,14/04/2020,4,0,39,AJK
231,4012,14/04/2020,124,2,34,Balochistan
233,1563,14/04/2020,155,3,9,GB
131,3947,14/04/2020,15,1,19,ICT
800,3793,14/04/2020,153,35,211,KP
2826,41781,14/04/2020,508,24,702,Punjab
1452,13840,14/04/2020,419,31,354,Sindh
46,1029,15/04/2020,4,0,42,AJK
240,4100,15/04/2020,137,2,20,Balochistan
234,1618,15/04/2020,175,3,5,GB
140,4473,15/04/2020,17,1,16,ICT
865,4151,15/04/2020,178,38,211,KP
2945,43565,15/04/2020,508,28,759,Punjab
1518,14503,15/04/2020,427,35,443,Sindh
46,1081,16/04/2020,9,0,37,AJK
280,4299,16/04/2020,140,3,25,Balochistan
237,1664,16/04/2020,178,3,5,GB
145,4824,16/04/2020,17,1,17,ICT
912,4524,16/04/2020,191,42,211,KP
3217,46561,16/04/2020,550,34,756,Punjab
1668,16026,16/04/2020,560,41,319,Sindh
46,1135,17/04/2020,9,0,37,AJK
303,4427,17/04/2020,142,5,33,Balochistan
245,1826,17/04/2020,183,3,5,GB
154,5150,17/04/2020,20,1,22,ICT
993,4885,17/04/2020,205,45,230,KP
3276,48381,17/04/2020,630,36,767,Punjab
2008,18900,17/04/2020,576,45,267,Sindh
48,1175,18/04/2020,9,0,39,AJK
335,4812,18/04/2020,142,5,40,Balochistan
250,2021,18/04/2020,192,3,5,GB
163,5479,18/04/2020,20,1,13,ICT
1077,5311,18/04/2020,216,50,280,KP
3391,52478,18/04/2020,672,37,787,Punjab
2217,21272,18/04/2020,581,47,717,Sindh
48,1229,19/04/2020,9,0,39,AJK
376,5085,19/04/2020,144,5,51,Balochistan
257,2169,19/04/2020,193,3,5,GB
171,5857,19/04/2020,20,2,15,ICT
1137,6003,19/04/2020,226,60,294,KP
3649,55241,19/04/2020,684,41,992,Punjab
2355,22938,19/04/2020,592,48,764,Sindh
49,1275,20/04/2020,10,0,39,AJK
432,5315,20/04/2020,152,5,68,Balochistan
263,2430,20/04/2020,194,3,4,GB
181,5976,20/04/2020,20,3,16,ICT
1235,6544,20/04/2020,267,67,296,KP
3721,58304,20/04/2020,702,42,1002,Punjab
2537,24458,20/04/2020,625,56,791,Sindh
50,1355,21/04/2020,16,0,34,AJK
465,5636,21/04/2020,161,6,67,Balochistan
281,2604,21/04/2020,195,3,4,GB
185,6224,21/04/2020,20,3,14,ICT
1276,9360,21/04/2020,297,74,328,KP
4195,60649,21/04/2020,742,45,1151,Punjab
2764,26058,21/04/2020,635,61,845,Sindh
51,1416,22/04/2020,23,0,28,AJK
552,6130,22/04/2020,168,8,82,Balochistan
290,2859,22/04/2020,201,3,10,GB
204,6931,22/04/2020,26,3,8,ICT
1453,10837,22/04/2020,414,83,351,KP
4590,66030,22/04/2020,790,58,1290,Punjab
3373,30346,22/04/2020,715,69,1010,Sindh
55,1471,23/04/2020,0,0,30,AJK
607,6504,23/04/2020,346,8,79,Balochistan
300,2998,23/04/2020,75,3,10,GB
214,7519,23/04/2020,173,3,12,ICT
1541,11963,23/04/2020,628,85,373,KP
4767,67882,23/04/2020,2497,65,1300,Punjab
3671,33028,23/04/2020,1805,73,1063,Sindh
55,1522,24/04/2020,0,0,27,AJK
656,6742,24/04/2020,393,10,77,Balochistan
307,3162,24/04/2020,81,3,10,GB
223,8059,24/04/2020,177,3,14,ICT
1708,13109,24/04/2020,738,89,409,KP
5046,69971,24/04/2020,2577,73,1331,Punjab
3945,35582,24/04/2020,1893,75,1205,Sindh
55,1588,25/04/2020,0,0,23,AJK
722,7212,25/04/2020,449,11,86,Balochistan
308,3273,25/04/2020,79,3,10,GB
235,8455,25/04/2020,188,3,15,ICT
1793,13930,25/04/2020,760,93,455,KP
5378,71726,25/04/2020,2577,81,1594,Punjab
4232,38181,25/04/2020,2146,78,1206,Sindh
55,1588,26/04/2020,32,0,23,AJK
722,7212,26/04/2020,176,11,86,Balochistan
308,3273,26/04/2020,216,3,10,GB
235,8455,26/04/2020,29,3,15,ICT
1793,13930,26/04/2020,485,93,455,KP
5378,71726,26/04/2020,1126,81,1594,Punjab
4232,38181,26/04/2020,802,78,1206,Sindh
59,1692,27/04/2020,35,0,24,AJK
781,7582,27/04/2020,176,13,90,Balochistan
318,3398,27/04/2020,219,3,10,GB
245,8753,27/04/2020,29,3,15,ICT
1864,14889,27/04/2020,515,98,484,KP
5446,73226,27/04/2020,1183,83,1602,Punjab
4615,41216,27/04/2020,872,81,1230,Sindh
65,1713,28/04/2020,35,0,30,AJK
853,7991,28/04/2020,176,14,93,Balochistan
320,3515,28/04/2020,222,3,10,GB
261,9247,28/04/2020,36,4,18,ICT
1984,15737,28/04/2020,533,104,500,KP
5640,75071,28/04/2020,1306,91,1664,Punjab
4956,43949,28/04/2020,925,85,1241,Sindh
65,1826,29/04/2020,37,0,28,AJK
915,8504,29/04/2020,176,14,93,Balochistan
330,3647,29/04/2020,224,3,9,GB
297,9705,29/04/2020,36,4,19,ICT
2160,16549,29/04/2020,562,114,496,KP
5827,77619,29/04/2020,1427,100,1719,Punjab
5291,48061,29/04/2020,963,92,1323,Sindh
66,1958,30/04/2020,37,0,29,AJK
978,8820,30/04/2020,180,14,88,Balochistan
333,3791,30/04/2020,228,3,10,GB
313,10435,30/04/2020,44,4,21,ICT
2313,17452,30/04/2020,614,122,576,KP
6061,79914,30/04/2020,1780,103,1597,Punjab
5695,51790,30/04/2020,1169,100,1239,Sindh
66,2038,01/05/2020,43,0,23,AJK
1049,9435,01/05/2020,183,14,90,Balochistan
339,3932,01/05/2020,248,3,10,GB
343,11194,01/05/2020,44,4,18,ICT
2627,18504,01/05/2020,654,146,616,KP
6340,82651,01/05/2020,1921,106,1703,Punjab
6053,54377,01/05/2020,1222,112,1246,Sindh
66,2054,02/05/2020,0,0,23,AJK
1136,9821,02/05/2020,847,16,90,Balochistan
340,4146,02/05/2020,72,3,10,GB
365,11689,02/05/2020,302,4,15,ICT
2799,19489,02/05/2020,1322,161,626,KP
6733,88899,02/05/2020,2610,115,1803,Punjab
6675,57761,02/05/2020,4044,118,1218,Sindh
71,2227,04/05/2020,0,0,27,AJK
1218,10326,04/05/2020,917,21,83,Balochistan
364,4439,04/05/2020,91,3,10,GB
415,12704,04/05/2020,339,4,16,ICT
3129,21909,04/05/2020,1535,180,603,KP
7524,96854,04/05/2020,2775,124,1958,Punjab
7465,64052,04/05/2020,4638,130,1142,Sindh
71,2281,05/05/2020,0,0,22,AJK
1321,10633,05/05/2020,1014,21,89,Balochistan
372,4581,05/05/2020,80,3,10,GB
464,13697,05/05/2020,383,4,21,ICT
3288,22692,05/05/2020,1578,185,669,KP
8103,101897,05/05/2020,2779,136,2472,Punjab
7882,66623,05/05/2020,4994,137,1122,Sindh
76,2391,06/05/2020,54,0,22,AJK
1495,11496,06/05/2020,206,21,67,Balochistan
386,4748,06/05/2020,282,3,22,GB
485,14585,06/05/2020,56,4,18,ICT
3499,23562,06/05/2020,875,194,633,KP
8420,106927,06/05/2020,3073,156,2412,Punjab
8189,68873,06/05/2020,1671,148,1231,Sindh
76,2471,07/05/2020,57,0,19,AJK
1659,12289,07/05/2020,209,22,67,Balochistan
388,4876,07/05/2020,288,3,21,GB
521,15607,07/05/2020,56,4,19,ICT
3712,24984,07/05/2020,939,203,671,KP
9077,112007,07/05/2020,3184,175,2939,Punjab
8640,72544,07/05/2020,1731,157,1224,Sindh
78,2518,08/05/2020,58,0,20,AJK
1725,13241,08/05/2020,209,24,44,Balochistan
394,5007,08/05/2020,292,3,13,GB
558,16666,08/05/2020,72,4,18,ICT
3956,26531,08/05/2020,984,209,704,KP
10033,117206,08/05/2020,4062,183,3009,Punjab
9093,76078,08/05/2020,1853,171,1211,Sindh
79,2668,09/05/2020,60,0,19,AJK
1876,13771,09/05/2020,222,24,44,Balochistan
421,5135,09/05/2020,298,3,12,GB
609,17657,09/05/2020,72,4,29,ICT
4327,27990,09/05/2020,1033,221,806,KP
10471,121194,09/05/2020,4131,191,3370,Punjab
9691,81610,09/05/2020,1940,175,1154,Sindh
86,2780,10/05/2020,60,0,26,AJK
1935,14374,10/05/2020,242,24,28,Balochistan
430,5310,10/05/2020,303,4,13,GB
641,18755,10/05/2020,72,5,29,ICT
4509,29202,10/05/2020,1086,234,602,KP
11093,125988,10/05/2020,4240,192,3882,Punjab
10771,87108,10/05/2020,2020,180,1139,Sindh
86,2854,11/05/2020,64,0,22,AJK
2017,14687,11/05/2020,242,26,28,Balochistan
442,5480,11/05/2020,304,4,5,GB
679,19532,11/05/2020,72,6,28,ICT
4669,30472,11/05/2020,1126,245,641,KP
11568,130546,11/05/2020,4323,197,4269,Punjab
11480,91323,11/05/2020,2081,189,1237,Sindh
86,2935,12/05/2020,0,1,21,AJK
2061,15323,12/05/2020,1761,27,31,Balochistan
457,5619,12/05/2020,121,4,12,GB
716,20201,12/05/2020,602,6,36,ICT
4875,31606,12/05/2020,2713,257,649,KP
11869,135114,12/05/2020,2784,211,4422,Punjab
12017,95053,12/05/2020,8178,200,1490,Sindh
88,3037,13/05/2020,0,1,19,AJK
2158,15751,13/05/2020,1844,27,31,Balochistan
475,5748,13/05/2020,127,4,13,GB
759,21257,13/05/2020,632,6,29,ICT
5021,32577,13/05/2020,2860,267,589,KP
13225,140212,13/05/2020,2780,214,5700,Punjab
12610,99117,13/05/2020,8668,218,1495,Sindh
91,3245,14/05/2020,69,1,21,AJK
2239,16062,14/05/2020,326,27,31,Balochistan
482,5884,14/05/2020,337,4,12,GB
822,22287,14/05/2020,100,6,26,ICT
5252,34352,14/05/2020,1392,275,572,KP
13561,145577,14/05/2020,4636,223,5912,Punjab
13341,103343,14/05/2020,2835,234,1432,Sindh
105,3411,15/05/2020,76,1,28,AJK
2310,16601,15/05/2020,342,30,31,Balochistan
501,6027,15/05/2020,339,4,17,GB
866,23409,15/05/2020,100,7,25,ICT
5423,35905,15/05/2020,1505,284,547,KP
13914,151247,15/05/2020,4720,234,6180,Punjab
14099,107830,15/05/2020,3073,243,1476,Sindh
108,3572,16/05/2020,76,1,31,AJK
2457,17078,16/05/2020,383,31,32,Balochistan
518,6173,16/05/2020,345,4,24,GB
921,24367,16/05/2020,100,7,30,ICT
5678,37452,16/05/2020,1613,291,522,KP
14201,157226,16/05/2020,4757,245,6418,Punjab
14916,113396,16/05/2020,3606,255,1404,Sindh
112,3758,17/05/2020,77,1,34,AJK
2544,17663,17/05/2020,417,36,32,Balochistan
527,6356,17/05/2020,348,4,21,GB
947,25385,17/05/2020,113,7,22,ICT
5847,38992,17/05/2020,1699,305,374,KP
14584,163466,17/05/2020,4883,252,6617,Punjab
15590,117860,17/05/2020,3804,268,1265,Sindh
112,3947,18/05/2020,77,1,34,AJK
2692,18021,18/05/2020,454,36,26,Balochistan
540,6517,18/05/2020,368,4,26,GB
997,26606,18/05/2020,113,7,31,ICT
6061,40410,18/05/2020,1783,318,520,KP
15346,168940,18/05/2020,4918,260,7388,Punjab
16337,122894,18/05/2020,4209,277,1406,Sindh
115,4090,19/05/2020,77,1,37,AJK
2820,18438,19/05/2020,524,38,34,Balochistan
550,6636,19/05/2020,368,4,22,GB
1034,27425,19/05/2020,113,9,22,ICT
6230,41825,19/05/2020,1944,334,478,KP
15976,174305,19/05/2020,4974,273,7949,Punjab
17241,127573,19/05/2020,4489,280,1377,Sindh
133,4242,20/05/2020,77,1,55,AJK
2885,19003,20/05/2020,608,38,39,Balochistan
556,6731,20/05/2020,390,4,20,GB
1138,29033,20/05/2020,151,9,30,ICT
6554,43329,20/05/2020,2058,345,512,KP
16685,180540,20/05/2020,5076,289,8538,Punjab
17947,131376,20/05/2020,4741,299,1534,Sindh
148,4470,21/05/2020,79,1,68,AJK
2968,19345,21/05/2020,636,38,35,Balochistan
579,6928,21/05/2020,402,4,22,GB
1235,30364,21/05/2020,151,10,35,ICT
6815,44973,21/05/2020,2130,351,535,KP
17382,185979,21/05/2020,5112,297,8718,Punjab
18964,137540,21/05/2020,5645,316,1487,Sindh
158,4659,22/05/2020,79,1,78,AJK
3074,19888,22/05/2020,724,39,58,Balochistan
602,7099,22/05/2020,412,4,25,GB
1326,32126,22/05/2020,151,12,34,ICT
7155,46762,22/05/2020,2198,365,420,KP
18455,191910,22/05/2020,5312,310,9418,Punjab
19924,143543,22/05/2020,6325,336,1528,Sindh
171,4868,23/05/2020,94,1,76,AJK
3198,20383,23/05/2020,762,39,58,Balochistan
607,7338,23/05/2020,427,4,26,GB
1457,32964,23/05/2020,152,12,33,ICT
7391,48348,23/05/2020,2297,381,465,KP
18730,197225,23/05/2020,5906,324,2126,Punjab
20883,149566,23/05/2020,7015,340,1633,Sindh
197,5103,24/05/2020,97,1,99,AJK
3306,20987,24/05/2020,860,39,61,Balochistan
619,7443,24/05/2020,430,4,24,GB
1592,33936,24/05/2020,152,14,30,ICT
7685,49780,24/05/2020,2396,389,403,KP
19557,202456,24/05/2020,6050,332,1960,Punjab
21645,153902,24/05/2020,7213,354,1654,Sindh
209,5225,25/05/2020,99,2,108,AJK
3407,21401,25/05/2020,875,40,77,Balochistan
619,7574,25/05/2020,437,7,24,GB
1641,34379,25/05/2020,152,16,31,ICT
7905,51587,25/05/2020,2469,398,401,KP
20077,206041,25/05/2020,6091,337,2053,Punjab
22491,157449,25/05/2020,7359,367,1671,Sindh
211,5341,26/05/2020,99,2,110,AJK
3468,21597,26/05/2020,993,41,77,Balochistan
630,7652,26/05/2020,444,8,24,GB
1728,34964,26/05/2020,152,17,32,ICT
8080,52783,26/05/2020,2529,408,400,KP
20654,209270,26/05/2020,6124,352,2137,Punjab
22934,159301,26/05/2020,7973,369,1649,Sindh
214,5379,27/05/2020,99,4,111,AJK
3536,21866,27/05/2020,1156,42,109,Balochistan
638,7761,27/05/2020,457,9,24,GB
1879,35551,27/05/2020,152,18,31,ICT
8259,53917,27/05/2020,2578,416,403,KP
21118,213297,27/05/2020,6185,362,2177,Punjab
23507,161628,27/05/2020,8515,374,1687,Sindh
